q,q_uncertainty,name,lat_NS,long_EW,elevation,environment,p_comment,corr_HP_flag,total_depth_MD,total_depth_TVD,explo_method,explo_purpose,qc,qc_uncertainty,q_method,q_top,q_bottom,probe_penetration,publication_reference,data_reference,relevant_child,c_comment,corr_IS_flag,corr_T_flag,corr_S_flag,corr_E_flag,corr_TOPO_flag,corr_PAL_flag,corr_SUR_flag,corr_CONV_flag,corr_HR_flag,expedition,probe_type,probe_length,probe_tilt,water_temperature,geo_lithology,geo_stratigraphy,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,T_grad_uncertainty_cor,T_method_top,T_method_bottom,T_shutin_top,T_shutin_bottom,T_corr_top,T_corr_bottom,T_number,q_date,tc_mean,tc_uncertainty,tc_source,tc_location,tc_method,tc_saturation,tc_pT_conditions,tc_pT_fuction,tc_number,tc_strategy,Ref_ISGN,Reviewer_name,Reviewer_comment,Review_date,Review_status,Country,Region,Continent,Domain,Year,Quality_Code,ID_parent,ID
16.0,,2622,75.72900,13.85400,-774.00,offshore (continental),,,,,Probing (offshore/ocean),Research,16.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 26 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,16.00,,,,,,,,,,,2009-01,1.02,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Norwegian Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002234,R24-002275
170.0,,2701,80.47000,29.85300,-390.00,offshore (continental),,,,,Probing (offshore/ocean),Research,170.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,170.00,,,,,,,,,,,2010-08,1.00,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Arctic Ocean,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002235,R24-002276
203.0,,2702,80.47000,29.87500,-438.00,offshore (continental),,,,,Probing (offshore/ocean),Research,203.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,216.00,,,,,,,,,,,2010-08,0.94,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Arctic Ocean,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002236,R24-002277
195.0,,2703,80.46600,29.87800,-440.00,offshore (continental),,,,,Probing (offshore/ocean),Research,195.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,205.00,,,,,,,,,,,2010-08,0.95,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Arctic Ocean,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002237,R24-002278
376.0,,2704,80.44300,29.53600,-357.00,offshore (continental),,,,,Probing (offshore/ocean),Research,376.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,327.00,,,,,,,,,,,2010-08,1.15,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Arctic Ocean,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002238,R24-002279
202.0,,2705,77.18500,11.51700,-573.00,offshore (continental),,,,,Probing (offshore/ocean),Research,202.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,162.00,,,,,,,,,,,2010-08,1.25,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002239,R24-002280
106.0,,2706,77.28400,10.95500,-1093.00,offshore (continental),,,,,Probing (offshore/ocean),Research,106.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,103.00,,,,,,,,,,,2010-08,1.03,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002240,R24-002281
109.0,,2707,77.40000,10.39100,-1422.00,offshore (continental),,,,,Probing (offshore/ocean),Research,109.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,124.00,,,,,,,,,,,2010-08,0.88,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M4.-------,R24-P002241,R24-002282
132.0,,2708,77.51500,9.60900,-1750.00,offshore (continental),,,,,Probing (offshore/ocean),Research,132.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,163.00,,,,,,,,,,,2010-08,0.81,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002242,R24-002283
189.0,,2709,77.61600,8.84300,-2066.00,offshore (continental),,,,,Probing (offshore/ocean),Research,189.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,203.00,,,,,,,,,,,2010-08,0.93,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,Eurasian Plate,marine,2012,Ux.M3.-------,R24-P002243,R24-002284
190.0,,2710,77.71900,8.31200,-2190.00,offshore (continental),,,,,Probing (offshore/ocean),Research,190.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,183.00,,,,,,,,,,,2010-08,1.04,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,North American Plate,marine,2012,Ux.M3.-------,R24-P002244,R24-002285
204.0,,2711,77.76600,8.05900,-2620.00,offshore (continental),,,,,Probing (offshore/ocean),Research,204.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,204.00,,,,,,,,,,,2010-08,1.00,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,North American Plate,marine,2012,Ux.M3.-------,R24-P002245,R24-002286
70.0,,2712,78.25400,2.59700,-2615.00,offshore (continental),,,,,Probing (offshore/ocean),Research,70.0,,Interval method,,,,Akhmedzyanov_etal._2012b,,Yes,,Considered – pT,,,,,,,,,R/V 27 Akademik Nikolai Strakhov,Violin-Bow probe (Lister),,,,sediments,Cenozoic,65.00,,,,,,,,,,,2010-08,1.08,,In-situ probe,Actual heat-flow location,Probe - pulse technique,Saturated measured in-situ,Actual in-situ (pT) conditions,,,,,"Alexey Petrunin, Florian Neumann",,6/06/2023,completed,,Greenland Sea,North American Plate,marine,2012,Ux.M3.-------,R24-P002246,R24-002287
